add device 1: /dev/input/event9
  name:     "sec_touchpad"
add device 2: /dev/input/event2
  name:     "meta_event"
add device 3: /dev/input/event3
  name:     "range_sensor"
add device 4: /dev/input/event6
  name:     "hall"
add device 5: /dev/input/event10
  name:     "sec_touchproximity"
add device 6: /dev/input/event11
  name:     "als_rear"
add device 7: /dev/input/event7
  name:     "ssp_context"
add device 8: /dev/input/event1
  name:     "sec-pmic-key"
add device 9: /dev/input/event4
  name:     "grip_sensor"
add device 10: /dev/input/event5
  name:     "certify_hall"
add device 11: /dev/input/event8
  name:     "sec_touchscreen"
add device 12: /dev/input/event0
  name:     "gpio_keys"
add device 13: /dev/input/event12
  name:     "sec_e-pen"
/dev/input/event8: 0003 0039 000000a7
/dev/input/event8: 0001 014a 00000001
/dev/input/event8: 0001 0145 00000001
/dev/input/event8: 0003 0035 0000034b
/dev/input/event8: 0003 0036 00000326
/dev/input/event8: 0003 0030 0000000a
/dev/input/event8: 0003 0031 0000000a
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0035 0000034c
/dev/input/event8: 0003 0036 00000324
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0036 00000323
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0035 0000034d
/dev/input/event8: 0003 0036 00000322
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0035 00000351
/dev/input/event8: 0003 0036 00000323
/dev/input/event8: 0003 0030 00000009
/dev/input/event8: 0003 0031 00000009
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0039 ffffffff
/dev/input/event8: 0001 014a 00000000
/dev/input/event8: 0001 0145 00000000
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0039 000000a8
/dev/input/event8: 0001 014a 00000001
/dev/input/event8: 0001 0145 00000001
/dev/input/event8: 0003 0035 00000caf
/dev/input/event8: 0003 0036 00000393
/dev/input/event8: 0003 0030 0000000c
/dev/input/event8: 0003 0031 0000000c
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0035 00000cb0
/dev/input/event8: 0003 0030 0000000b
/dev/input/event8: 0003 0031 0000000b
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0036 00000392
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0035 00000cac
/dev/input/event8: 0003 0036 00000393
/dev/input/event8: 0003 0030 0000000a
/dev/input/event8: 0003 0031 0000000a
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0035 00000ca7
/dev/input/event8: 0003 0036 00000395
/dev/input/event8: 0003 0030 00000009
/dev/input/event8: 0003 0031 00000009
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0039 ffffffff
/dev/input/event8: 0001 014a 00000000
/dev/input/event8: 0001 0145 00000000
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 0039 000000a9
/dev/input/event8: 0001 014a 00000001
/dev/input/event8: 0001 0145 00000001
/dev/input/event8: 0003 0035 00000d26
/dev/input/event8: 0003 0036 00000363
/dev/input/event8: 0003 0030 0000000b
/dev/input/event8: 0003 0031 0000000b
/dev/input/event8: 0000 0000 00000000
/dev/input/event8: 0003 002f 00000001
/dev/input/event8: 0003 0039 000000aa
/dev/input/event8: 0003 0035 000002b7
/dev/input/event8: 0003 0036 0000035d
/dev/input/event8: 0003 0030 0000000c
/dev/input/event8: 0003 0031 0000000c
